66.6709 	EXP 	New trial (rep=2, index=7): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
66.6826 	EXP 	fixation: autoDraw = False
66.6826 	EXP 	text: autoDraw = False
66.6826 	EXP 	text: height = 0.05
66.6826 	EXP 	text: height = 0.05
66.6826 	EXP 	text: height = 0.05
66.6826 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
66.6826 	EXP 	fixation: autoDraw = True
67.6697 	EXP 	text: autoDraw = True
67.6921 	EXP 	fixation: autoDraw = False
68.0274 	EXP 	New trial (rep=2, index=8): {'reward_today': 90, 'future_reward': 100, 'delay': 170}
68.0354 	DATA 	Keypress: t
68.0474 	EXP 	fixation: autoDraw = False
68.0474 	EXP 	text: autoDraw = False
68.0474 	EXP 	text: height = 0.05
68.0474 	EXP 	text: height = 0.05
68.0474 	EXP 	text: height = 0.05
68.0474 	EXP 	text: text = 'GBP 90 today or GBP 100 after 170 days'
68.0474 	EXP 	fixation: autoDraw = True
69.0356 	EXP 	text: autoDraw = True
69.0467 	EXP 	fixation: autoDraw = False
69.3828 	EXP 	New trial (rep=2, index=9): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
69.3901 	DATA 	Keypress: l
69.4030 	EXP 	fixation: autoDraw = False
69.4030 	EXP 	text: autoDraw = False
69.4030 	EXP 	text: height = 0.05
69.4030 	EXP 	text: height = 0.05
69.4030 	EXP 	text: height = 0.05
69.4030 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
69.4030 	EXP 	fixation: autoDraw = True
70.3911 	EXP 	text: autoDraw = True
70.4029 	EXP 	fixation: autoDraw = False
70.6940 	EXP 	New trial (rep=3, index=0): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
70.7019 	DATA 	Keypress: t
70.7138 	EXP 	fixation: autoDraw = False
70.7138 	EXP 	text: autoDraw = False
70.7138 	EXP 	text: height = 0.05
70.7138 	EXP 	text: height = 0.05
70.7138 	EXP 	text: height = 0.05
70.7138 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
70.7138 	EXP 	fixation: autoDraw = True
71.7028 	EXP 	text: autoDraw = True
71.7140 	EXP 	fixation: autoDraw = False
72.1494 	EXP 	New trial (rep=3, index=1): {'reward_today': 100, 'future_reward': 150, 'delay': 176}
72.1575 	DATA 	Keypress: l
